Country,Currency,Currency code,Currency units per �1 ,Start Date, End Date
Haiti,Gourde,HTG,117.24,01/07/2019,31/07/2019
Honduras,Lempira,HNL,30.96,01/07/2019,31/07/2019
Hong Kong,Dollar,HKD,9.8821,01/07/2019,31/07/2019
Hungary,Forint,HUF,364.98,01/07/2019,31/07/2019
Iceland,Krona,ISK,159.36,01/07/2019,31/07/2019
India,Rupee,INR,88.02,01/07/2019,31/07/2019
Indonesia,Rupiah,IDR,18024.57,01/07/2019,31/07/2019
Iraq,Dinar,IQD,1503.15,01/07/2019,31/07/2019
Israel,Shekel,ILS,4.5425,01/07/2019,31/07/2019
Jamaica,Dollar,JMD,163.24,01/07/2019,31/07/2019
Japan,Yen,JPY,136.93,01/07/2019,31/07/2019
Jordan,Dinar,JOD,0.8956,01/07/2019,31/07/2019
Kazakhstan,Tenge,KZT,482.49,01/07/2019,31/07/2019
Kenya,Schilling,KES,128.7,01/07/2019,31/07/2019
Kuwait,Dinar,KWD,0.3841,01/07/2019,31/07/2019
Kyrgyz Republic,Som,KGS,88.08,01/07/2019,31/07/2019
Lao People's Dem Rep,Kip,LAK,10938.9,01/07/2019,31/07/2019
Lebanon,Pound,LBP,1904.2,01/07/2019,31/07/2019
Lesotho,Loti,LSL,18.34,01/07/2019,31/07/2019
Liberia,Dollar (US),LRD,1.2632,01/07/2019,31/07/2019
Libya,Dinar,LYD,1.767,01/07/2019,31/07/2019
Macao,Pataca,MOP,10.17,01/07/2019,31/07/2019
Macedonia,Denar,MKD,69.29,01/07/2019,31/07/2019
Madagascar,Malagasy Ariary,MGA,4613.66,01/07/2019,31/07/2019
Malawi,Kwacha,MWK,974.37,01/07/2019,31/07/2019
Malaysia,Ringgit,MYR,5.2718,01/07/2019,31/07/2019
Maldive Islands,Rufiyaa,MVR,19.57,01/07/2019,31/07/2019
Mali Republic,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Mauritania,Ouguiya,MRO,451.32,01/07/2019,31/07/2019
Mauritius,Rupee,MUR,45.53,01/07/2019,31/07/2019
Mexico,Mexican Peso,MXN,24.22,01/07/2019,31/07/2019
Moldova,Leu,MDL,22.92,01/07/2019,31/07/2019
Mongolia,Tugrik,MNT,3361.24,01/07/2019,31/07/2019
Montserrat,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
Morocco,Dirham,MAD,12.09,01/07/2019,31/07/2019
Mozambique,Metical,MZN,78.44,01/07/2019,31/07/2019
Myanmar,Kyat,MMK,1930.34,01/07/2019,31/07/2019
Nepal,Rupee,NPR,140.84,01/07/2019,31/07/2019
New Caledonia,CFP Franc,XPF,134.3,01/07/2019,31/07/2019
New Zealand,Dollar,NZD,1.9362,01/07/2019,31/07/2019
Nicaragua,Gold Cordoba,NIO,41.77,01/07/2019,31/07/2019
Niger Republic,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Nigeria,Naira,NGN,455.36,01/07/2019,31/07/2019
Norway,Norwegian Krone,NOK,11.02,01/07/2019,31/07/2019
Oman,Rial,OMR,0.4863,01/07/2019,31/07/2019
Pakistan,Rupee,PKR,198.25,01/07/2019,31/07/2019
Panama,Balboa,PAB,1.2632,01/07/2019,31/07/2019
Papua New Guinea,Kina,PGK,4.2774,01/07/2019,31/07/2019
Paraguay,Guarani,PYG,7815.81,01/07/2019,31/07/2019
Peru,New Sol,PEN,4.2132,01/07/2019,31/07/2019
Philippines,Peso,PHP,65.53,01/07/2019,31/07/2019
Poland,Zloty,PLN,4.8089,01/07/2019,31/07/2019
Qatar,Riyal,QAR,4.5995,01/07/2019,31/07/2019
Romania,New Leu,RON,5.3265,01/07/2019,31/07/2019
Russia,Rouble,RUB,80.74,01/07/2019,31/07/2019
Rwanda,Franc,RWF,1150.49,01/07/2019,31/07/2019
Saotome & Principe,Dobra,STD,27694.6,01/07/2019,31/07/2019
Saudi Arabia,Riyal,SAR,4.737,01/07/2019,31/07/2019
Senegal,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Serbia,Dinar,RSD,132.76,01/07/2019,31/07/2019
Seychelles,Rupee,SCR,17.55,01/07/2019,31/07/2019
Sierra Leone,Leone,SLL,11336.8,01/07/2019,31/07/2019
Singapore,Dollar,SGD,1.7258,01/07/2019,31/07/2019
Soloman Islands,Dollar,SBD,10.12,01/07/2019,31/07/2019
Somali Republic,Schilling,SOS,738.94,01/07/2019,31/07/2019
South Africa,Rand,ZAR,18.34,01/07/2019,31/07/2019
South Korea,Won,KRW,1485.59,01/07/2019,31/07/2019
Sri Lanka,Rupee,LKR,223.16,01/07/2019,31/07/2019
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
St Lucia,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
St Vincent,E Caribbean Dollar,XCD,3.4105,01/07/2019,31/07/2019
Sudan Republic,Pound,SDG,56.99,01/07/2019,31/07/2019
Surinam,Dollar,SRD,9.4206,01/07/2019,31/07/2019
Swaziland,Lilangeni,SZL,18.34,01/07/2019,31/07/2019
Sweden,Krona,SEK,12.03,01/07/2019,31/07/2019
Switzerland,Franc,CHF,1.2574,01/07/2019,31/07/2019
Taiwan,Dollar,TWD,39.59,01/07/2019,31/07/2019
Tanzania,Schilling,TZS,2902.88,01/07/2019,31/07/2019
Thailand,Baht,THB,39.45,01/07/2019,31/07/2019
Togo Republic,CFA Franc,XOF,738.77,01/07/2019,31/07/2019
Tonga Islands,Pa'anga (AUS),TOP,1.8389,01/07/2019,31/07/2019
Trinidad/Tobago,Dollar,TTD,8.5227,01/07/2019,31/07/2019
Tunisia,Dinar,TND,3.7509,01/07/2019,31/07/2019
Turkey,Turkish  Lira,TRY,7.3714,01/07/2019,31/07/2019
Turkmenistan,New Manat,TMT,4.4337,01/07/2019,31/07/2019
UAE,Dirham,AED,4.6397,01/07/2019,31/07/2019
Uganda,Schilling,UGX,4679.98,01/07/2019,31/07/2019
Ukraine,Hryvnia,UAH,33.3,01/07/2019,31/07/2019
Uruguay,Peso,UYU,44.62,01/07/2019,31/07/2019
USA,Dollar,USD,1.2632,01/07/2019,31/07/2019
Uzbekistan,Sum,UZS,10781.95,01/07/2019,31/07/2019
Vanuatu,Vatu,VUV,148.78,01/07/2019,31/07/2019
Venezuela,Bolivar Fuerte,VEF,312256.23,01/07/2019,31/07/2019
Vietnam,Dong,VND,29452.3,01/07/2019,31/07/2019
Wallis & Futuna Islands,CFP Franc,XPF,134.3,01/07/2019,31/07/2019
Western Samoa,Tala,WST,3.3488,01/07/2019,31/07/2019
Yemen (Rep of),Rial,YER,315.96,01/07/2019,31/07/2019
Zambia,Kwacha,ZMW,16.22,01/07/2019,31/07/2019
Zimbabwe,Dollar,ZWL,457.13,01/07/2019,31/07/2019
