Country/Territories,Currency,currencyCode,Currency units per £1,Start Date,End Date
Malawi,Kwacha,MWK,943.81,01/11/2019,30/11/2019
Malaysia,Ringgit,MYR,5.3943,01/11/2019,30/11/2019
Maldive Islands,Rufiyaa,MVR,19.83,01/11/2019,30/11/2019
Mali Republic,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Mauritania,Ouguiya,MRO,460.27,01/11/2019,30/11/2019
Mauritius,Rupee,MUR,46.68,01/11/2019,30/11/2019
Mexico,Mexican Peso,MXN,24.64,01/11/2019,30/11/2019
Moldova,Leu,MDL,22.4,01/11/2019,30/11/2019
Mongolia,Tugrik,MNT,3462.66,01/11/2019,30/11/2019
Montserrat,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
Morocco,Dirham,MAD,12.39,01/11/2019,30/11/2019
Mozambique,Metical,MZN,80.47,01/11/2019,30/11/2019
Myanmar,Kyat,MMK,1977.05,01/11/2019,30/11/2019
Nepal,Rupee,NPR,146.16,01/11/2019,30/11/2019
New Caledonia,CFP Franc,XPF,138.28,01/11/2019,30/11/2019
New Zealand,Dollar,NZD,2.0087,01/11/2019,30/11/2019
Nicaragua,Gold Cordoba,NIO,43.32,01/11/2019,30/11/2019
Niger Republic,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Nigeria,Naira,NGN,467.51,01/11/2019,30/11/2019
Norway,Norwegian Krone,NOK,11.79,01/11/2019,30/11/2019
Oman,Rial,OMR,0.496,01/11/2019,30/11/2019
Pakistan,Rupee,PKR,200.57,01/11/2019,30/11/2019
Panama,Balboa,PAB,1.2882,01/11/2019,30/11/2019
Papua New Guinea,Kina,PGK,4.3674,01/11/2019,30/11/2019
Paraguay,Guarani,PYG,8335.27,01/11/2019,30/11/2019
Peru,New Sol,PEN,4.311,01/11/2019,30/11/2019
Philippines,Peso,PHP,65.67,01/11/2019,30/11/2019
Poland,Zloty,PLN,4.9536,01/11/2019,30/11/2019
Qatar,Riyal,QAR,4.6903,01/11/2019,30/11/2019
Romania,New Leu,RON,5.5132,01/11/2019,30/11/2019
Russia,Rouble,RUB,82.29,01/11/2019,30/11/2019
Rwanda,Franc,RWF,1188.35,01/11/2019,30/11/2019
Saotome & Principe,Dobra,STD,28469.1,01/11/2019,30/11/2019
Saudi Arabia,Riyal,SAR,4.8316,01/11/2019,30/11/2019
Senegal,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Serbia,Dinar,RSD,136.26,01/11/2019,30/11/2019
Seychelles,Rupee,SCR,17.97,01/11/2019,30/11/2019
Sierra Leone,Leone,SLL,12281.1,01/11/2019,30/11/2019
Singapore,Dollar,SGD,1.7561,01/11/2019,30/11/2019
Soloman Islands,Dollar,SBD,10.46,01/11/2019,30/11/2019
Somali Republic,Schilling,SOS,747.15,01/11/2019,30/11/2019
South Africa,Rand,ZAR,18.84,01/11/2019,30/11/2019
South Korea,Won,KRW,1510.27,01/11/2019,30/11/2019
Sri Lanka,Rupee,LKR,233.67,01/11/2019,30/11/2019
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
St Lucia,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
St Vincent,E Caribbean Dollar,XCD,3.4781,01/11/2019,30/11/2019
Sudan Republic,Pound,SDG,58.1,01/11/2019,30/11/2019
Surinam,Dollar,SRD,9.6074,01/11/2019,30/11/2019
Swaziland,Lilangeni,SZL,18.84,01/11/2019,30/11/2019
Sweden,Krona,SEK,12.43,01/11/2019,30/11/2019
Switzerland,Franc,CHF,1.2758,01/11/2019,30/11/2019
Taiwan,Dollar,TWD,39.43,01/11/2019,30/11/2019
Tanzania,Schilling,TZS,2966.71,01/11/2019,30/11/2019
Thailand,Baht,THB,39.03,01/11/2019,30/11/2019
Togo Republic,CFA Franc,XOF,760.16,01/11/2019,30/11/2019
Tonga Islands,Pa'anga (AUS),TOP,1.8821,01/11/2019,30/11/2019
Trinidad/Tobago,Dollar,TTD,8.6698,01/11/2019,30/11/2019
Tunisia,Dinar,TND,3.6524,01/11/2019,30/11/2019
Turkey,Turkish  Lira,TRY,7.4165,01/11/2019,30/11/2019
Turkmenistan,New Manat,TMT,4.5216,01/11/2019,30/11/2019
UAE,Dirham,AED,4.7317,01/11/2019,30/11/2019
Uganda,Schilling,UGX,4780.49,01/11/2019,30/11/2019
Ukraine,Hryvnia,UAH,32.24,01/11/2019,30/11/2019
Uruguay,Peso,UYU,48.17,01/11/2019,30/11/2019
USA,Dollar,USD,1.2882,01/11/2019,30/11/2019
Uzbekistan,Sum,UZS,12171.55,01/11/2019,30/11/2019
Vanuatu,Vatu,VUV,150.81,01/11/2019,30/11/2019
Venezuela,Bolivar Fuerte,VEF,322560,01/11/2019,30/11/2019
Vietnam,Dong,VND,29849.56,01/11/2019,30/11/2019
Wallis & Futuna Islands,CFP Franc,XPF,138.28,01/11/2019,30/11/2019
Western Samoa,Tala,WST,3.4288,01/11/2019,30/11/2019
Yemen (Rep of),Rial,YER,321.91,01/11/2019,30/11/2019
Zambia,Kwacha,ZMW,17.03,01/11/2019,30/11/2019
Zimbabwe,Dollar,ZWL,466.19,01/11/2019,30/11/2019
